,Facility Name,Resident Weeks,Covid Infections,Facility Infection Rate,County Infection Rate,Infection Score,Final Payment,Infection Rate,Rate Ratio
0,HIGHLANDS HEALTH AND REHAB,195.0,0,0.0,2.44,0.48,61106,0.0,0.0
1,PLANTATION MANOR NURSING HOME,436.0,0,0.0,1.25,0.55,69998,0.0,0.0
2,SENIOR REHAB & RECOVERY AT LIMESTONE HEALTH FACILI,567.0,0,0.0,1.7,0.97,141839,0.0,0.0
3,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,820.0,0,0.0,1.19,0.98,125148,0.0,0.0
4,DIVERSICARE OF FOLEY,491.0,0,0.0,1.09,0.53,71802,0.0,0.0
5,WEST GATE VILLAGE,498.0,0,0.0,0.6,0.3,38338,0.0,0.0
6,"CRIMSON HEALTH AND REHAB, LLC",235.0,0,0.0,1.26,0.3,40375,0.0,0.0
7,"CAREGIVERS OF PLEASANT GROVE, INC",241.0,0,0.0,1.25,0.3,46430,0.0,0.0
8,EAMC LANIER NURSING HOME,419.0,0,0.0,0.78,0.33,50006,0.0,0.0
9,CULLMAN HEALTH CARE CENTER,372.0,0,0.0,1.78,0.66,85049,0.0,0.0
10,OAK TRACE CARE & REHABILITATION CENTER,311.0,0,0.0,1.25,0.39,56221,0.0,0.0
11,TERRACE OAKS CARE & REHABILITATION CENTER,267.0,0,0.0,1.25,0.33,42866,0.0,0.0
12,DIVERSICARE OF BOAZ,470.0,0,0.0,1.0,0.47,64986,0.0,0.0
13,"PRATTVILLE HEALTH AND REHABILITATION, LLC",567.0,0,0.0,1.18,0.67,103349,0.0,0.0
14,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",251.0,0,0.0,1.89,0.48,60941,0.0,0.0
15,COTTAGE OF THE SHOALS,359.0,0,0.0,1.38,0.5,76177,0.0,0.0
16,RUSSELLVILLE HEALTH CARE INC,188.0,0,0.0,1.89,0.36,45645,0.0,0.0
17,"HANCEVILLE NURSING & REHAB CENTER, INC",927.0,0,0.0,1.78,1.65,213875,0.0,0.0
18,SUMMERFORD NURSING HOME INC,946.0,1,1.06,1.77,0.68,103949,1.0570824524312896,0.5988700564971752
19,"ELBA NURSING AND REHABILITATION CENTER, LLC",497.0,0,0.0,1.58,0.79,120941,0.0,0.0
20,EVERGREEN NURSING HOME,239.0,0,0.0,0.55,0.13,16757,0.0,0.0
21,ALLEN HEALTH AND REHABILITATION,300.0,0,0.0,0.63,0.19,29283,0.0,0.0
22,CROWNE HEALTH CARE OF MOBILE,560.0,0,0.0,0.63,0.36,45552,0.0,0.0
23,ALTOONA  HEALTH & REHAB,212.0,0,0.0,1.58,0.34,51659,0.0,0.0
24,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",554.0,0,0.0,0.63,0.35,45064,0.0,0.0
25,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",392.0,0,0.0,1.25,0.49,62934,0.0,0.0
26,RIVER CITY CENTER,696.0,1,1.44,1.77,0.23,35826,1.4367816091954022,0.8135593220338982
27,SHADESCREST HEALTH CARE CENTER,389.0,0,0.0,1.5,0.58,89871,0.0,0.0
28,"CORDOVA HEALTH AND REHABILITATION, LLC",506.0,0,0.0,1.5,0.76,116901,0.0,0.0
29,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,430.0,0,0.0,0.87,0.37,57648,0.0,0.0
30,"SELMA HEALTH AND REHAB, LLC",543.0,0,0.0,0.43,0.23,35930,0.0,0.0
31,CROWNE HEALTH CARE OF CITRONELLE,315.0,0,0.0,0.63,0.2,25623,0.0,0.0
32,BROOKSHIRE HEALTHCARE CENTER,485.0,0,0.0,0.87,0.42,65022,0.0,0.0
33,ATMORE NURSING CENTER,385.0,0,0.0,0.6,0.23,35567,0.0,0.0
34,MAGNOLIA RIDGE,625.0,0,0.0,1.25,0.78,100341,0.0,0.0
35,JOHN KNOX MANOR INC  I I,229.0,0,0.0,1.26,0.29,36914,0.0,0.0
36,FALKVILLE HEALTH CARE CENTER,372.0,0,0.0,1.77,0.66,101367,0.0,0.0
37,HENDRIX HEALTH AND REHABILITATION,444.0,0,0.0,1.63,0.73,74382,0.0,0.0
38,"TALLASSEE HEALTH AND REHABILITATION, LLC",470.0,0,0.0,1.34,0.63,80571,0.0,0.0
39,ARBOR WOODS HEALTH AND REHAB,257.0,0,0.0,2.12,0.54,69758,0.0,0.0
40,DIVERSICARE OF RIVERCHASE,489.0,0,0.0,1.25,0.61,82153,0.0,0.0
41,GLENWOOD CENTER,509.0,0,0.0,1.19,0.61,77683,0.0,0.0
42,AZALEA GARDENS OF MOBILE,417.0,0,0.0,0.63,0.26,40704,0.0,0.0
43,CROWNE HEALTH CARE OF FT PAYNE,490.0,0,0.0,2.84,1.39,179756,0.0,0.0
44,HALEYVILLE HEALTH CARE CENTER,245.0,0,0.0,1.63,0.4,58267,0.0,0.0
45,PERRY COUNTY NURSING HOME,276.0,0,0.0,1.21,0.33,45100,0.0,0.0
46,SYLACAUGA HEALTH AND REHAB SERVICES,579.0,0,0.0,1.28,0.74,114259,0.0,0.0
47,CHOCTAW HEALTH AND REHAB,260.0,0,0.0,0.64,0.17,25416,0.0,0.0
48,DADEVILLE HEALTHCARE CENTER,446.0,0,0.0,0.8,0.36,54123,0.0,0.0
49,MARION REGIONAL NURSING HOME,273.0,0,0.0,0.77,0.21,32512,0.0,0.0
50,"FLORENCE NURSING AND REHABILITATION CTR,  LLC",603.0,0,0.0,1.19,0.72,73623,0.0,0.0
51,COOSA VALLEY HEALTH AND REHAB,436.0,0,0.0,1.58,0.69,106243,0.0,0.0
